#,song_id,echonest_id,date,title,artist,rank,exrank,peak,weeksOn,writer,producer,promotion,tempo,key,loudness,duration,energy,danceability,mode,year
18171,106908,SOAABOH12AF729ACBF,10/21/2000,Independent Women Part I,Destiny s Child,23,33,1,12,"S.J.Barnes,J.C.Olivier,C.Rooney,B.Knowles",Poke ,Columbia,98.068,6,-4.091,221.70077,0.640581204,0.75274862,0,2000
22625,28337,SOAAQBB12AF72A58DD,1/4/1960,Mack The Knife,Bobby Darin,12,0,1,26,,,n/a,159.248,3,-12.151,220.96934,0.855803226,0.444547428,1,1960
16408,44892,SOAARJZ12A58A7F9E7,5/14/1994,I Swear,All-4-One,8,18,1,30,"F.J.Myers,G.Baker",D.Foster,Atlantic,81.826,2,-8.059,304.03873,0.326546063,0.385150404,1,1994
9337,58997,SOABAPZ12AB0189204,10/20/1979,Escape (The Pina Colada Song),Rupert Holmes,85,0,1,21,,,,139.421,0,-6.406,275.09506,0.726474218,0.819819885,1,1979
20290,20070,SOABBQN12A58A76F9B,10/17/1964,Leader Of The Pack,The Shangri-Las,59,0,1,12,,,n/a,93.233,1,-12.461,168.30649,0.728755072,0.334933346,1,1964
34430,8386,SOABKEC12AB0189DDE,8/26/1967,The Letter,The Box Tops,25,0,1,16,,,n/a,140.055,9,-5.29,111.882,0.669926125,0.664729561,0,1967
39601,114078,SOABQTG12A6701F3DB,7/18/1987,Who s That Girl,Madonna,33,43,1,16,"Madonna,P.Leonard","Madonna,P.Leonard",Warner Bros.,103.899,9,-13.05,239.25506,0.583002012,0.683961582,0,1987
17118,15310,SOABTPJ12AF72A2780,12/24/1966,I'm A Believer,The Monkees,3,0,1,15,,,n/a,156.382,7,-8.247,173.03465,0.762949451,0.495428549,1,1966
11300,110365,SOABTVK12AB0182627,2/13/1988,"Get Outta My Dreams, Get Into My Car",Billy Ocean,49,0,1,20,"R.J.Lange,B.Ocean",R.J.Lange,Arista,117.098,4,-7.183,282.67057,0.788017871,0.695176758,1,1988
9568,118390,SOABWJQ12A8C13E137,3/16/1985,Everybody Wants To Rule The World,Tears For Fears,70,0,1,24,"Orzabal,Stanley,Hughes",C.Hughes,PolyGram,111.971,7,-5.985,254.04036,0.796572637,0.652878715,1,1985
5454,124162,SOACSXJ12C0DD04BC9,8/11/1984,Caribbean Queen,Billy Ocean,85,0,1,26,"K.Diamond,B.Ocean",K.Diamond,Arista,114.272,0,-20.57,221.04771,0.409183604,0.880196136,1,1984
4313,76528,SOADDIQ12A58A794C2,7/8/1972,Brandy (You're A Fine Girl),Looking Glass,12,0,1,16,,,,84.744,11,-13.055,177.81506,0.487807697,0.677810812,1,1972
10253,125863,SOADFXS12AC3DF7667,4/2/1983,Flashdance...What A Feeling,Irene Cara,77,0,1,25,,,1,121.852,10,-11.865,243.46077,0.52413981,0.722054103,1,1983
5894,55605,SOAEPPK12A81C22232,6/30/1990,Close To You,Maxi Priest,87,0,1,30,"G.Benson,W.Sela,M.Elliott","G.Chung,S.Dunbar,H.Tucker",Charisma,96.023,1,-13.683,329.35138,0.525086812,0.776266045,1,1990
22235,54500,SOAFMHC12AF72AA6DD,1/27/1990,Love Will Lead You Back,Taylor Dayne,55,0,1,20,D.Warren,R.Wake,Arista,146.394,1,-11.741,264.85506,0.293233849,0.567768034,1,1990
